Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
EWEETH-6,Euler V2,Ethereum,10692739,Yield Bearing (EthFi),,0.22079,0.22079,,0.00071,0.21081,Down,2,Lending,,,,0.03808,,,,0.22079,0.22079,,,,,,,
WSTETH,Fluid Lending,Ethereum,85536047,Yield Bearing (Lido),,0.24,0.24,,0.05,0.12,Stable/Up,2,Lending,,,,0.18771,,,,1.683,1.683,-2.6,0,-2.6,85536047,75915643,9620404,
WSTETH,Fluid Lending,Ethereum,9164193,Yield Bearing (Lido),,0.24,0.24,,0.05,0.12,Stable/Up,2,Lending,,,,0.18759,,,,3.1260000000000000,3.1260000000000000,,,,,,,
WSTETH,AAVE V3,Ethereum,145880755,Yield Bearing (Lido),,0.26082,0.26082,,0.01677,0.00047,Stable/Up,3,Lending,,,,0.22651,,,,3.14682,3.14682,-0.40961,,-0.40961,442417802,296537047,145880755,lido-market
EWBTC-3,Euler V2,Ethereum,11823704,,,0.35164,0.35164,,-0.02499,-0.36535,Stable/Up,1,Lending,,,,1.31105,,,,0.35164,0.35164,,,,,,,
PYUSD,AAVE V3,Ethereum,15490841,,,0.6639,0.6639,,0.01802,-0.69754,Stable/Up,3,Lending,,,,1.43805,,,,0.6639,0.6639,-3.4539,,-3.4539,20389781,4898940,15490841,
USDC,AAVE V2,Ethereum,23378758,,,1.06944,1.06944,,-0.00407,-0.17628,Stable/Up,3,Lending,,,,1.77235,,,,1.06944,1.06944,-7.0364,,-7.0364,47385306,24006548,23378758,
USDS,SparkLend,Ethereum,17583299,Yield Bearing (Sky),,1.45439,1.45439,,0.00013,1.38337,Stable/Up,2,Lending,,,,0.15027,,,,1.45439,1.45439,-4.90169,,-4.90169,25001737,7418438,17583299,
USDC,Compound V2,Ethereum,15761036,,,1.47389,1.47389,,-0.02517,-0.29337,Stable/Up,3,Lending,,,,2.14265,,,,1.47389,1.47389,-3.55336,0,-3.55336,35714667,19953632,15761035,
WBTC,Fluid Lending,Ethereum,19028733,,,1.69,1.69,,-0.12,0.57,Stable/Up,3,Lending,,,,1.01382,,,,1.69,1.69,-4.26,0,-4.26,19028733,10745588,8283145,
WBTC,Fluid Lending,Ethereum,18135757,,,1.69,1.69,,-0.12,0.57,Stable/Up,3,Lending,,,,1.01382,,,,1.69,1.69,-5.32,0,-5.32,18135757,10020140,8115617,
ETH,Fluid Lending,Arbitrum,8584172,,,1.76,1.76,,0.13,0.72,Down,1,Lending,,,,1.20723,,,,1.76,1.76,-2.93,0,-2.93,8584172,5035776,3548396,
USDT,AAVE V2,Ethereum,15252478,,,1.77493,1.77493,,-0.01232,-0.69322,Stable/Up,3,Lending,,,,2.69684,,,,1.77493,1.77493,-9.61481,,-9.61481,39653074,24400596,15252478,
WETH,AAVE V3,Arbitrum,33617529,,,1.81274,1.81274,,-0.00796,0.11235,Stable/Up,1,Lending,,,,1.78241,,,,1.81274,1.81274,-2.52941,,-2.52941,214309746,180692217,33617529,
ETH,Fluid Lending,Ethereum,44865055,,,1.82,1.82,,-0.24,-0.27,Stable/Up,1,Lending,,,,1.9968,,,,1.82,1.82,-4.26,0,-4.26,44865055,26747061,18117994,
WETH,AAVE V3,Base,19990219,,,1.83648,1.83648,,0.00273,-0.06836,Down,1,Lending,,,,1.74896,,,,1.83648,1.83648,-2.54591,,-2.54591,132068803,112078583,19990220,
BSDETH,Reserve Protocol,Base,7986151,,,1.84599,1.84599,,-0.00575,0.05217,Stable/Up,3,Indexes,,,,1.81624,,,,1.84599,1.84599,,,,,,,
USDC,AAVE V3,Optimism,14279213,,,1.90371,1.90371,,0.01996,-0.1438,Stable/Up,2,Lending,,,,2.84046,,,,1.90371,1.90371,-3.75521,,-3.75521,32696506,18417292,14279214,
WETH,SparkLend,Ethereum,110030070,,,1.90529,1.90529,,-0.14639,0.01829,Down,2,Lending,,,,2.03851,,,,1.90529,1.90529,-2.47431,,-2.47431,580281416,470251346,110030070,
EEUSDE-1,Euler V2,Ethereum,9917256,Yield Bearing (Ethena),,1.90688,1.90688,,0.03745,,,,Lending,,,,1.75845,,,,1.90688,1.90688,,,,,,,
DAI,AAVE V3,Ethereum,61064030,,,1.94771,1.94771,,0.03247,-0.67176,Stable/Up,3,Lending,,,,2.78653,,,,1.94771,1.94771,-4.11541,,-4.11541,165492011,104427980,61064031,
ETH+,Reserve Protocol,Ethereum,101554486,,,2.00465,2.00465,,-0.00898,0.03615,Stable/Up,2,Indexes,,,,2.41716,,,,2.00465,2.00465,,,,,,,
WETH,AAVE V3,Ethereum,377514512,,,2.05307,2.05307,,0.03677,0.1115,Stable/Up,3,Lending,,,,2.15146,,,,2.05307,2.05307,-2.69186,,-2.69186,3675374850,3297860338,377514512,
USDC,AAVE V3,Arbitrum,89858273,,,2.21634,2.21634,,0.03854,-0.24435,Stable/Up,3,Lending,,,,2.56207,,,,2.21634,2.21634,-4.05183,,-4.05183,229098535,139240263,89858272,
USDT,Compound V2,Ethereum,34984571,,,2.23522,2.23522,,0.00182,-0.19464,Stable/Up,3,Lending,,,,2.37796,,,,2.23522,2.23522,-4.11389,0,-4.11389,98570119,63585547,34984572,
WBTC,Across,Ethereum,26952140,,,2.23625,0.88014,1.3561,0.05282,0.34698,Stable/Up,3,Cross Chain Bridge,,,,2.28728,,,,2.23625,0.88014,,,,,,,
USD₮0,AAVE V3,Arbitrum,36062563,,,2.25985,2.25985,,0.04295,-0.48539,Stable/Up,3,Lending,,,,2.73755,,,,2.25985,2.25985,-4.09198,,-4.09198,93402102,57339539,36062563,
EUSDC-2,Euler V2,Ethereum,11407622,,,2.34354,2.34354,,-0.0368,-0.96277,Stable/Up,3,Lending,,,,3.13176,,,,2.34354,2.34354,,,,,,,
ETH,Compound V3,Ethereum,9837324,,,2.54719,1.89028,0.65691,0.48303,0.09411,Down,1,Lending,,,,2.75396,,,,2.54719,1.89028,-2.35645,0.42894,-1.9275100000000000,78779660,68942335,9837325,
GTWETH,Morpho Blue,Ethereum,26885083,,,2.60886,2.30047,0.30839,-0.07107,0.28912,Stable/Up,1,Lending,,,,2.85824,,,,2.60886,2.30047,,,,,,,
STEAKETH,Morpho Blue,Ethereum,27717374,,,2.61919,2.31135,0.30784,-0.02904,0.368,Stable/Up,2,Lending,,,,2.84148,,,,2.61919,2.31135,,,,,,,
RSWETH,Swell Liquid Restaking,Ethereum,70470124,,,2.67238,2.67238,,0,-0.11074,Stable/Up,3,Liquid Restaking,,2.65818,2.65818,2.84513,,,,6.61459,6.61459,,,,,,,
DAI,Compound V2,Ethereum,7440276,,,2.69684,2.69684,,-0.05173,-0.73805,Stable/Up,3,Lending,,,,3.12216,,,,2.69684,2.69684,-4.52256,0,-4.52256,25460120,18019843,7440277,
WBETH,Binance staked ETH,Ethereum,3080121386,,,2.79407,2.79407,,-0.08322,0.11095,Stable/Up,2,Liquid Staking,,,,2.86216,,,,2.79407,2.79407,,,,,,,
UNIETH,Bedrock uniETH,Ethereum,25434002,,,2.84484,2.84484,,-0.02715,0.10374,Stable/Up,1,Liquid Restaking,,,,3.05818,,,,2.84484,2.84484,,,,,,,
USDC,AAVE V3,Base,42243649,,,2.86077,2.86077,,-0.01553,-0.10896,Stable/Up,3,Lending,,,,3.14155,,,,2.86077,2.86077,-4.60336,,-4.60336,136491371,94247722,42243649,
WEETH,ether.fi Stake,Ethereum,3565361944,,,2.87235,2.36516,0.50719,-1.07222,-0.77945,Stable/Up,1,Liquid Restaking,,3.64607,3.64607,3.52816,,,,2.87235,2.36516,,,,,,,
STETH,Lido,Ethereum,15007741377,,,2.886,2.886,,-0.275,0.104,Stable/Up,2,Liquid Staking,,,,2.99207,,,,2.886,2.886,,,,,,,
RETH,Rocket Pool,Ethereum,2109532364,,,2.90557,2.90557,,-0.02923,0.37304,Stable/Up,1,Liquid Staking,,,,2.91554,,,,2.90557,2.90557,,,,,,,
OETH,Origin Ether,Ethereum,71323226,,,2.98408,,,0.00554,0.38259,Stable/Up,2,Liquid Staking,,,,2.96563,,,,2.98408,0,,,,,,,
RSETH,Kelp,Ethereum,931455152,,,3.02,,,-0.01,0.15,Stable/Up,2,Liquid Restaking,,,,2.96017,,,,3.02,0,,,,,,,
USDT,Compound V3,Arbitrum,16753663,,,3.0238,2.36164,0.66216,0.07183,-0.50523,Stable/Up,3,Lending,,,,3.2716,,,,3.0238,2.36164,-3.58224,0.88321,-2.69903,33495104,16741441,16753663,
USDT,AAVE V3,Ethereum,673746381,,,3.11891,3.11891,,1.34943,0.84401,Stable/Up,2,Lending,,,,2.59601,,,,3.11891,3.11891,-4.75403,,-4.75403,2485651825,1811905444,673746381,
CBETH,Coinbase Wrapped Staked ETH,Ethereum,199718699,,,3.16719,3.16719,,-0.99115,0.10283,Stable/Up,2,Liquid Staking,,,,3.1652,,,,3.16719,3.16719,,,,,,,
USDC,AAVE V3,Ethereum,693517917,,,3.19354,3.19354,,0.05885,0.48493,Stable/Up,2,Lending,,,,2.82893,,,,3.19354,3.19354,-4.81057,,-4.81057,2643115680,1949597763,693517917,
WETH,Across,Ethereum,21447939,,,3.21586,0.8478,2.36806,-0.04496,0.51913,Stable/Up,2,Cross Chain Bridge,,,,2.85756,,,,3.21586,0.8478,,,,,,,
EZETH,Renzo,Ethereum,496668700,,,3.25376,3.25376,,-0.04903,-0.41424,Stable/Up,2,Liquid Restaking,,,,3.68479,,,,3.25376,3.25376,,,,,,,
ETHX,Stader,Ethereum,227158293,,,3.26066,3.26066,,0.04397,0.1326,Stable/Up,2,Liquid Staking,,3.26066,3.26066,2.88436,,,,3.26066,3.26066,,,,,,,
USDX,Stables Labs USDX,Arbitrum,12699942,,,3.26924,3.26924,,1.53804,2.40314,Stable/Up,3,Basis Trading,,,,3.26041,,,,3.26924,3.26924,,,,,,,7 days unstaking
STEAKPYUSD,Morpho Blue,Ethereum,12665419,,,3.30411,2.58646,0.71765,-0.02094,0.16063,Stable/Up,3,Lending,,,,4.84997,,,,3.30411,2.58646,,,,,,,
DAI,Sky Lending,Ethereum,839598199,,,3.5,,,0,0,Stable/Up,1,CDP,,,,4.23333,,,,3.5,0,,,,,,,DSR
APXETH,Dinero (pxETH),Ethereum,107242860,,,3.52,3.52,,0.02,-0.07,Stable/Up,2,Liquid Staking,,,,3.66393,,,,3.52,3.52,,,,,,,
USD3,Reserve Protocol,Ethereum,41962535,,,3.5409,3.5409,,-0.01307,-0.15679,Stable/Up,1,Indexes,,,,4.30214,,,,3.5409,3.5409,,,,,,,
SFRXETH,Frax Ether,Ethereum,129610990,,,3.5467,3.5467,,0.00814,0.16133,Stable/Up,2,Liquid Staking,,,,3.18567,,,,3.5467,3.5467,,,,,,,
SCRVUSD,crvUSD,Ethereum,24776354,,,3.58979,3.58979,,-0.02253,3.00293,Stable/Up,3,CDP,,,,1.96659,,,,3.58979,3.58979,,,,,,,
OSETH,StakeWise V2,Ethereum,267467649,,,3.60927,,,0.15968,0.62149,Stable/Up,2,Liquid Staking,,,,2.93357,,,,3.60927,0,,,,,,,
METH,mETH Protocol,Ethereum,623519437,,,3.63522,3.63522,,-2.04458,0.18744,Stable/Up,1,Liquid Staking,,4.82739,4.82739,3.58108,,,,3.63522,3.63522,,,,,,,
USDT,Compound V3,Ethereum,64094383,,,3.71111,3.18468,0.52643,-0.08453,-0.41257,Stable/Up,3,Lending,,,,3.93622,,,,3.71111,3.18468,-4.30791,0.55789,-3.7500200000000000,196612646,132518263,64094383,
STEAKUSDT,Morpho Blue,Ethereum,38472117,,,3.74375,2.89684,0.84691,0.08407,-0.30776,Stable/Up,1,Lending,,,,4.66618,,,,3.74375,2.89684,,,,,,,
USDC,Across,Ethereum,8345438,,,3.77407,0.25411,3.51996,0.01517,0.15634,Stable/Up,3,Cross Chain Bridge,,,,4.36086,,,,3.77407,0.25411,,,,,,,
USDC,Compound V3,Base,7943995,,,3.87252,2.97774,0.89478,0.00857,-0.52101,Stable/Up,3,Lending,,,,4.39009,,,,3.87252,2.97774,-4.12546,0.54608,-3.5793800000000000,21482473,13538479,7943994,
SWETH,Swell Liquid Staking,Ethereum,77939278,,,3.94221,3.94221,,0,0.97899,Stable/Up,1,Liquid Staking,,3.94221,3.94221,3.1608,,,,3.94221,3.94221,,,,,,,
USDC,Compound V3,Ethereum,100771880,,,3.96145,3.74938,0.21208,0.06769,0.46427,Down,1,Lending,,,,4.06523,,,,3.96145,3.74938,-4.8058,0.27108,-4.53472,488044950,387273071,100771879,
USDC,Compound V3,Arbitrum,12262628,,,3.96226,3.16715,0.79511,0.01084,-0.34185,Stable/Up,3,Lending,,,,4.04899,,,,3.96226,3.16715,-4.29246,0.5931,-3.6993600000000000,37192912,24930284,12262628,
YNETH,YieldNest,Ethereum,10642538,,,4.02504,,,-0.00957,-0.42757,Stable/Up,1,Liquid Restaking,,,,3.79228,,,,4.02504,0,,,,,,,
EUSDC-22,Euler V2,Ethereum,9793456,,,4.19892,4.19892,,-0.00367,0.21542,Stable/Up,3,Lending,,,,4.89878,,,,4.19892,4.19892,,,,,,,
ANKRETH,Ankr,Ethereum,20524098,,,4.24842,,,-0.08895,0.4254,Down,1,Liquid Staking,,,,5.896,,,,4.24842,0,,,,,,,
EUSD0-4,Euler V2,Ethereum,24324503,,,4.28664,4.28664,,0.08984,0.52377,Down,1,Lending,,,,4.12609,,,,4.28664,4.28664,,,,,,,
DAI,SparkLend,Ethereum,109401909,,,4.37678,4.37678,,0.09743,-0.05607,Stable/Up,1,Lending,,,,4.90793,,,,4.37678,4.37678,-4.90169,,-4.90169,865735113,756333204,109401909,
GTUSDT,Morpho Blue,Ethereum,11179797,,,4.3999,3.55304,0.84686,0.51547,0.49281,Stable/Up,3,Lending,,,,4.54524,,,,4.3999,3.55304,,,,,,,
SUSDS,Sky Lending,Ethereum,2479468541,,,4.5,,,0,0,Stable/Up,2,CDP,,,,5.23333,,,,4.5,0,,,,,,,
SBMORPHOUSDC,Morpho Blue,Ethereum,8575232,,,4.56673,3.91583,0.6509,-0.04132,-0.88194,Stable/Up,2,Lending,,,,4.47518,,,,4.56673,3.91583,,,,,,,
SFRXUSD,Frax,Ethereum,28112908,,,4.5993,4.5993,,-0.00002,-1.8988,Stable/Up,2,Algo-Stables,,,,5.88339,,,,4.5993,4.5993,,,,,,,
CSUSDL,Morpho Blue,Ethereum,70640644,,,4.72079,0.21807,4.50272,-0.0495,-0.0183,Down,3,Lending,,,,4.93022,,,,4.72079,0.21807,,,,,,,
SUSDE,Ethena USDe,Ethereum,2151791019,,,4.88327,4.88327,,-0.00133,0.33937,Stable/Up,3,Basis Trading,,,,5.87839,,,,4.88327,4.88327,,,,,,,7 days unstaking
UPSUSDE,Upshift,Ethereum,24422936,,,5,5,,0,0,Down,3,Onchain Capital Allocator,,,,5,,,,5,5,,,,,,,
MCWETH,Morpho Blue,Ethereum,24884557,,,5.01164,5.01164,,-1.56112,0.01454,Down,3,Lending,,,,5.58139,,,,5.01164,5.01164,,,,,,,
MHYETH,Morpho Blue,Ethereum,14178440,,,5.07903,4.34516,0.73387,-0.75684,-0.15589,Stable/Up,1,Lending,,,,5.51961,,,,5.07903,4.34516,,,,,,,
STUSD,Angle,Ethereum,7493277,,,5.12979,5.12979,,-4.20518,-0.97197,Stable/Up,3,CDP,,,,5.76074,,,,5.12979,5.12979,,,,,,,
USDC,Fluid Lending,Ethereum,176657399,,,5.24,2.31,2.93,0.06,-0.15,Stable/Up,3,Lending,,,,5.62753,,,,5.24,2.31,,,,,,,
SUPEROETHB,Origin Ether,Base,346184444,,,5.25516,,,0.03509,0.96438,Stable/Up,2,Liquid Staking,,,,4.93883,,,,5.25516,0,,,,,,,
GTETH,Upshift,Ethereum,13855504,,,5.34,5.34,,0,0,Down,2,Onchain Capital Allocator,,,,5.34,,,,5.34,5.34,,,,,,,
RE7WETH,Morpho Blue,Ethereum,18695114,,,5.38583,5.38583,,-0.1689,1.67362,Down,3,Lending,,,,4.31573,,,,5.38583,5.38583,,,,,,,
USDC,Moonwell,Base,9843879,,,5.39639,3.3818,2.01458,0.19382,0.08684,Stable/Up,2,Lending,,,,5.555,,,,5.39639,3.3818,-4.67518,0,-4.67518,51472934,41629056,9843878,
MWUSDC,Morpho Blue,Base,26292878,,,5.49423,4.50691,0.98732,0.04847,-0.17003,Stable/Up,1,Lending,,,,5.68168,,,,5.49423,4.50691,,,,,,,
GTUSDCCORE,Morpho Blue,Ethereum,73025911,,,5.52326,5.22474,0.29852,-0.51502,0.11545,Stable/Up,3,Lending,,,,5.91105,,,,5.52326,5.22474,,,,,,,
SPARKUSDC,Morpho Blue,Base,59573163,,,5.53373,4.50696,1.02678,0.01324,-0.13095,Stable/Up,2,Lending,,,,5.6316,,,,5.53373,4.50696,,,,,,,
GTUSDC,Morpho Blue,Ethereum,32796216,,,5.58214,4.73549,0.84665,-0.78896,-0.6877,Down,1,Lending,,,,5.1722,,,,5.58214,4.73549,,,,,,,
STEAKUSDC,Morpho Blue,Ethereum,119175774,,,5.59018,4.74353,0.84665,-1.99687,-0.66113,Down,2,Lending,,,,5.2071,,,,5.59018,4.74353,,,,,,,
HUSDC,Morpho Blue,Ethereum,28440325,,,5.69867,5.69867,,-2.40135,0.19563,Stable/Up,3,Lending,,,,7.37093,,,,5.69867,5.69867,,,,,,,
STEAKRUSD,Morpho Blue,Ethereum,91936085,,,5.72372,4.87685,0.84687,-0.04885,0.00838,Down,1,Lending,,,,6.23485,,,,5.72372,4.87685,,,,,,,
BBQUSDC,Morpho Blue,Ethereum,112809441,,,5.75821,5.13972,0.61849,-1.16697,-0.02285,Stable/Up,3,Lending,,,,6.26854,,,,5.75821,5.13972,,,,,,,
GTUSDCC,Morpho Blue,Base,13053516,,,5.77299,5.27454,0.49846,-0.14485,-0.82212,Stable/Up,1,Lending,,,,7.52788,,,,5.77299,5.27454,,,,,,,
MWETH,Morpho Blue,Base,23219627,,,5.82724,5.40984,0.4174,0.18168,2.02526,Down,3,Lending,,,,3.383,,,,5.82724,5.40984,,,,,,,
USDC,Fluid Lending,Base,14440003,,,5.86,1.65,4.21,-0.45,-0.17,Stable/Up,2,Lending,,,,6.16837,,,,5.86,1.65,,,,,,,
RESOLVUSDC,Morpho Blue,Ethereum,18872080,,,5.89349,5.14556,0.74793,-2.53019,0.17224,Down,1,Lending,,,,5.81534,,,,5.89349,5.14556,,,,,,,
USDS,SparkLend,Ethereum,570537575,,,5.96753,,5.96753,-2.37982,0.15692,Stable/Up,1,Lending,,,,6.8483,,,,5.96753,0,,,,,,,SKY Farming Pool
WETH-STETH-WSTETH,Sommelier,Ethereum,9651543,,,6.0809,6.0809,,1.12584,-0.34763,Stable/Up,3,Onchain Capital Allocator,,4.80598,4.80598,5.89454,,,,7.0429000000000000,7.0429000000000000,,,,,,,TurboSTETH
USUALUSDC+,Morpho Blue,Ethereum,158182831,,,6.09091,5.83703,0.25388,-2.38753,0.47372,Stable/Up,3,Lending,,,,7.72052,,,,6.09091,5.83703,,,,,,,
GTDAICORE,Morpho Blue,Ethereum,18822289,,,6.13557,5.87628,0.2593,-0.20339,-0.16489,Stable/Up,2,Lending,,,,7.08219,,,,6.13557,5.87628,,,,,,,
SMUSDC,Morpho Blue,Base,55156611,,,6.16788,4.88231,1.28557,-0.10046,0.15857,Stable/Up,2,Lending,,,,7.51012,,,,6.16788,4.88231,,,,,,,
USDC,Fluid Lending,Arbitrum,24512878,,,6.27,1.31,4.96,0.4,0.2,Stable/Up,2,Lending,,,,5.97138,,,,6.27,1.31,,,,,,,
USD₮0,Fluid Lending,Arbitrum,21100939,,,6.27,0.51,5.76,0.13,-0.69,Stable/Up,2,Lending,,,,7.37832,,,,6.27,0.51,,,,,,,
APRUSDC,Morpho Blue,Base,7140769,,,6.33838,5.90393,0.43445,-0.73118,-0.21928,Stable/Up,2,Lending,,,,8.18005,,,,6.33838,5.90393,,,,,,,
SPDAI,Morpho Blue,Ethereum,325083630,,,6.36669,5.57574,0.79095,-0.0659,0.03836,Stable/Up,1,Lending,,,,6.68965,,,,6.36669,5.57574,,,,,,,
SRUSD,Reservoir Protocol,Ethereum,148087432,,,6.5,,,0,0,Stable/Up,1,CDP,,,,6.71159,,,,6.5,0,,,,,,,
GTUSDCF,Morpho Blue,Ethereum,23459076,,,6.5868,5.35031,1.2365,0.06725,0.49322,Stable/Up,2,Lending,,,,7.88564,,,,6.5868,5.35031,,,,,,,
LSETH,Liquid Collective,Ethereum,184493384,,,6.64522,6.64522,,0.00143,3.62986,Down,3,Liquid Staking,,6.64522,6.64522,3.44028,,,,6.64522,6.64522,,,,,,,
YNETHX,YieldNest,Ethereum,13506035,,,7.01,,,0,0.4,Stable/Up,2,Liquid Restaking,,,,6.89745,,,,7.01,0,,,,,,,
USDT,Fluid Lending,Ethereum,151179235,,,7.02,3.61,3.41,0.52,1.77,Stable/Up,3,Lending,,,,5.88102,,,,7.02,3.61,,,,,,,
REUSDC,Morpho Blue,Ethereum,51625803,,,7.08282,6.21099,0.87183,-2.7787,0.94293,Stable/Up,3,Lending,,,,7.72901,,,,7.08282,6.21099,,,,,,,
HYPERUSDC,Morpho Blue,Ethereum,16080433,,,7.66315,7.57504,0.08811,-5.07155,1.66104,Down,2,Lending,,,,9.10559,,,,7.66315,7.57504,,,,,,,
SMWETH,Morpho Blue,Base,16603645,,,7.81246,5.49368,2.31877,-0.66054,2.45396,Down,1,Lending,,,,5.64861,,,,7.81246,5.49368,,,,,,,
MEUSD,Morpho Blue,Base,7764031,,,8.38839,0.81006,7.57833,0.14923,-0.41523,Down,2,Lending,,,,8.79628,,,,8.38839,0.81006,,,,,,,
UPUSDC,Upshift,Ethereum,34298935,,,9.09,9.09,,0,0,Stable/Up,1,Onchain Capital Allocator,,,,9.09,,,,9.09,9.09,,,,,,,
USDC,Goldfinch,Ethereum,42700719,,,9.55101,9.55101,,0,-0.00003,Stable/Up,1,RWA Lending,,,,9.54833,,,,9.55101,9.55101,,,,,,,
GTEUSDC,Morpho Blue,Ethereum,8332056,,,9.66248,0.37407,9.28841,-0.31728,8.38978,Down,2,Lending,,,,9.50102,,,,9.66248,0.37407,,,,,,,
